Datetime,Open,High,Low,Close,Volume
2021-03-19,0.18,0.20453,0.1667,0.16904,205395635.0
2021-03-20,0.16921,0.17878,0.15303,0.15612,366838704.0
2021-03-21,0.15597,0.18066,0.155,0.16977,305621729.0
2021-03-22,0.16983,0.17051,0.132,0.14067,275663887.0
2021-03-23,0.14067,0.1477,0.1265,0.13061,336627890.0
2021-03-24,0.13035,0.14889,0.11344,0.12138,360382927.0
2021-03-25,0.12135,0.12598,0.11221,0.11516,286211538.0
2021-03-26,0.11502,0.13651,0.11492,0.13078,265009911.0
2021-03-27,0.13078,0.14542,0.12509,0.1385,323133897.0
2021-03-28,0.1385,0.15895,0.1355,0.1456,421901666.0
2021-03-29,0.14561,0.15354,0.14088,0.14402,236992728.0
2021-03-30,0.14409,0.15461,0.14056,0.14557,256732744.0
2021-03-31,0.14552,0.14894,0.12921,0.13872,267210263.0
2021-04-01,0.13872,0.14579,0.13442,0.1356,152033613.0
2021-04-02,0.13565,0.15,0.13331,0.14001,235219525.0
2021-04-03,0.14001,0.14284,0.121,0.12419,262948074.0
2021-04-04,0.12419,0.13535,0.12229,0.13192,178532336.0
2021-04-05,0.13194,0.14,0.12429,0.13082,224115784.0
2021-04-06,0.13081,0.13766,0.1238,0.12858,223358684.0
2021-04-07,0.1285,0.12928,0.098,0.1101,539272544.0
2021-04-08,0.11017,0.12192,0.1092,0.11944,290013112.0
2021-04-09,0.11947,0.1349,0.11888,0.13283,393160619.0
2021-04-10,0.13294,0.17355,0.12931,0.14343,1446116118.0
2021-04-11,0.14347,0.16555,0.13816,0.14899,928765316.0
2021-04-12,0.149,0.16158,0.13759,0.14179,438687833.0
2021-04-13,0.14179,0.14609,0.1315,0.13644,297780619.0
2021-04-14,0.13645,0.13806,0.12174,0.13116,321665802.0
2021-04-15,0.13119,0.141,0.131,0.1344,284780833.0
2021-04-16,0.1345,0.1369,0.11347,0.12425,360990451.0
2021-04-17,0.12435,0.13528,0.12023,0.12293,337226904.0
2021-04-18,0.12292,0.12479,0.08319,0.10693,572195559.0
2021-04-19,0.10693,0.11441,0.09362,0.09622,431570224.0
2021-04-20,0.09622,0.10661,0.08278,0.09964,678987810.0
2021-04-21,0.09967,0.10492,0.09116,0.09165,414416620.0
2021-04-22,0.09158,0.10424,0.08823,0.09006,444760032.0
2021-04-23,0.09006,0.09214,0.06941,0.0812,588065417.0
2021-04-24,0.08117,0.08132,0.07124,0.07395,351179838.0
2021-04-25,0.07396,0.0825,0.0697,0.07428,418463704.0
2021-04-26,0.07434,0.09444,0.07343,0.08733,592611751.0
2021-04-27,0.08732,0.09409,0.0855,0.0914,512870286.0
2021-04-28,0.0914,0.09646,0.08186,0.09205,564595635.0
2021-04-29,0.09206,0.10773,0.08812,0.10236,1205047461.0
2021-04-30,0.10237,0.1165,0.102,0.10644,963462838.0
2021-05-01,0.10637,0.11839,0.10417,0.1138,594405228.0
2021-05-02,0.11387,0.12474,0.10026,0.12471,735696418.0
2021-05-03,0.12471,0.13651,0.118,0.12286,1322136035.0
2021-05-04,0.12295,0.12527,0.10359,0.10458,1014847073.0
2021-05-05,0.10452,0.11477,0.10226,0.11102,547369073.0
2021-05-06,0.11108,0.11488,0.1016,0.10317,557549233.0
2021-05-07,0.10317,0.10871,0.09612,0.09975,517440299.0
2021-05-08,0.09976,0.10722,0.09756,0.10112,490010483.0
2021-05-09,0.10115,0.10335,0.09322,0.09955,417600269.0
2021-05-10,0.09946,0.1025,0.07443,0.08617,645636512.0
2021-05-11,0.08617,0.09191,0.08309,0.09004,449632244.0
2021-05-12,0.09003,0.09376,0.07196,0.074,593240870.0
2021-05-13,0.074,0.08366,0.06749,0.07588,590449050.0
2021-05-14,0.0759,0.08584,0.0752,0.08101,432158442.0
2021-05-15,0.08101,0.08227,0.07227,0.07321,415084464.0
2021-05-16,0.07324,0.08556,0.07037,0.07504,546739441.0
2021-05-17,0.07505,0.07517,0.06361,0.06665,629618090.0
2021-05-18,0.06664,0.07301,0.0655,0.07058,530529919.0
2021-05-19,0.07053,0.07192,0.02673,0.04028,1444929934.0
2021-05-20,0.04029,0.04966,0.03569,0.04755,986814482.0
