Datetime,Open,High,Low,Close,Volume
2021-02-19,23.1,27.911,23.1,26.989,363181.1
2021-02-20,27.05,27.108,20.603,23.165,457291.7
2021-02-21,23.156,26.486,22.286,24.45,276135.5
2021-02-22,24.436,26.522,18.566,26.2,512475.5
2021-02-23,26.2,29.26,16.6,21.082,922945.4
2021-02-24,21.063,33.836,19.46,32.219,1827002.9
2021-02-25,32.188,39.3,28.033,28.559,2648701.5
2021-02-26,28.575,32.815,25.239,28.601,1283832.1
2021-02-27,28.589,39.0,28.553,35.908,1623002.9
2021-02-28,35.907,37.888,30.275,35.842,1585494.3
2021-03-01,35.899,44.155,35.571,42.064,1092736.2
2021-03-02,42.055,42.5,34.362,36.375,742643.5
2021-03-03,36.39,37.902,34.206,34.3,587142.2
2021-03-04,34.271,36.77,30.556,30.701,493940.7
2021-03-05,30.733,33.4,28.208,31.297,569302.1
2021-03-06,31.252,34.455,30.94,33.507,571970.1
2021-03-07,33.5,37.592,33.427,34.363,499739.6
2021-03-08,34.381,35.061,32.135,33.579,390779.1
2021-03-09,33.609,39.179,33.134,37.709,793504.4
2021-03-10,37.708,38.27,33.993,34.771,802845.2
2021-03-11,34.801,35.889,32.625,32.815,513956.5
2021-03-12,32.842,36.29,31.3,32.729,728722.4
2021-03-13,32.711,35.001,31.459,34.221,401929.7
2021-03-14,34.227,37.222,33.026,35.294,451186.8
2021-03-15,35.313,36.953,31.152,31.642,654776.1
2021-03-16,31.685,32.58,29.09,31.793,515259.4
2021-03-17,31.841,32.648,30.0,32.29,449077.1
2021-03-18,32.292,32.776,30.276,30.368,382186.6
2021-03-19,30.367,30.668,28.824,29.74,354122.2
2021-03-20,29.74,31.998,28.58,28.647,384683.2
2021-03-21,28.648,29.164,26.998,27.904,510191.0
2021-03-22,27.915,28.865,24.96,25.803,538277.0
2021-03-23,25.768,27.403,23.713,24.488,531786.2
2021-03-24,24.459,26.458,21.515,22.194,458019.7
2021-03-25,22.152,23.404,21.182,22.208,676341.8
2021-03-26,22.202,25.685,22.189,24.933,434430.1
2021-03-27,24.967,29.956,24.962,29.252,942804.0
2021-03-28,29.28,30.133,26.909,28.011,738616.3
2021-03-29,28.001,28.901,27.275,27.406,585510.1
2021-03-30,27.415,32.592,26.563,32.314,1383274.5
2021-03-31,32.349,32.967,27.197,29.301,914911.2
2021-04-01,29.319,30.073,27.111,27.389,435706.9
2021-04-02,27.419,27.881,26.2,26.404,568175.7
2021-04-03,26.405,26.816,23.61,24.169,665452.0
2021-04-04,24.176,27.153,23.62,26.644,545510.3
2021-04-05,26.666,28.437,25.139,26.812,620450.7
2021-04-06,26.823,30.999,26.38,29.512,1304898.1
2021-04-07,29.512,31.753,24.254,24.601,1593561.2
2021-04-08,24.622,27.695,24.21,26.572,3076183.8
2021-04-09,26.586,28.677,25.9,26.37,1795133.9
2021-04-10,26.378,27.568,24.836,26.005,988013.1
2021-04-11,26.037,26.843,25.044,26.61,696154.7
2021-04-12,26.623,26.811,24.281,25.576,778901.9
2021-04-13,25.602,27.952,23.666,27.84,1224718.5
2021-04-14,27.84,36.226,26.925,35.035,3216687.9
2021-04-15,34.999,35.9,31.509,32.507,1590038.8
2021-04-16,32.512,32.833,29.258,30.453,1281771.2
2021-04-17,30.453,32.0,28.8,29.055,817641.7
2021-04-18,29.062,29.54,17.412,25.455,2098562.9
2021-04-19,25.485,26.612,22.556,23.035,1222668.9
2021-04-20,23.03,24.63,20.94,23.887,1183773.8
2021-04-21,23.883,25.082,22.28,22.46,789092.0
2021-04-22,22.486,24.12,20.2,21.041,1012176.2
2021-04-23,21.038,21.622,17.624,21.588,1494594.0
2021-04-24,21.604,21.636,19.017,19.221,820391.5
2021-04-25,19.221,20.799,18.018,19.082,757792.3
2021-04-26,19.089,22.846,18.825,22.551,905814.0
2021-04-27,22.554,25.018,22.027,24.354,774467.2
2021-04-28,24.346,26.899,22.025,26.488,1338335.6
2021-04-29,26.493,27.647,23.85,24.801,996971.6
2021-04-30,24.806,26.488,24.286,25.408,554120.1
2021-05-01,25.407,26.198,24.55,25.62,560316.1
2021-05-02,25.617,25.724,23.758,24.374,491387.3
2021-05-03,24.375,31.867,24.336,30.818,2544121.3
2021-05-04,30.838,31.46,24.456,24.853,2209667.0
2021-05-05,24.844,27.623,24.539,27.075,896226.2
2021-05-06,27.095,27.5,24.392,25.068,736241.6
2021-05-07,25.08,26.22,24.0,24.85,901229.1
2021-05-08,24.853,25.49,24.313,24.677,555797.8
2021-05-09,24.68,24.789,22.777,24.096,729953.1
2021-05-10,24.119,24.544,19.7,21.683,891465.0
2021-05-11,21.675,23.036,20.774,22.853,702972.5
2021-05-12,22.849,25.113,19.88,20.458,1180121.7
2021-05-13,20.498,22.024,18.861,20.183,1291167.1
2021-05-14,20.184,23.54,19.832,22.222,1310314.7
2021-05-15,22.217,22.566,19.51,19.749,901931.5
2021-05-16,19.732,21.196,17.792,18.95,863600.4
2021-05-17,18.949,18.961,16.732,17.32,997594.2
2021-05-18,17.324,18.836,17.115,17.67,1036302.7
2021-05-19,17.673,17.976,6.44,9.846,3606241.2
2021-05-20,9.829,11.898,8.73,10.606,2846753.9
