Datetime,Open,High,Low,Close,Volume
2020-02-03,75.81,78.27,75.7,76.72,177071.103
2020-02-04,76.73,77.3,73.73,75.27,230733.121
2020-02-05,75.27,79.2,74.55,77.87,275305.488
2020-02-06,77.94,80.23,76.28,78.39,130355.894
2020-02-07,78.38,81.01,78.36,79.63,145821.539
2020-02-08,79.63,81.71,76.84,80.77,124853.413
2020-02-09,80.77,87.99,80.6,87.68,167717.445
2020-02-10,87.71,88.01,83.17,84.73,125420.882
2020-02-11,84.66,89.84,82.69,89.68,218711.154
2020-02-12,89.65,94.74,89.59,94.47,191814.211
2020-02-13,94.46,95.91,89.69,92.44,216644.758
2020-02-14,92.44,95.48,91.02,95.33,111776.785
2020-02-15,95.32,97.14,86.45,89.29,149330.801
2020-02-16,89.29,92.2,79.52,87.81,288121.713
2020-02-17,87.83,89.31,79.19,82.7,244112.596
2020-02-18,82.72,87.41,81.22,86.35,96280.155
2020-02-19,86.37,87.21,75.71,77.72,102052.217
2020-02-20,77.64,79.2,75.02,76.47,106364.563
2020-02-21,76.49,82.72,75.64,80.29,103280.87
2020-02-22,80.26,82.88,78.12,78.91,115768.617
2020-02-23,78.94,85.67,78.89,85.12,140935.878
2020-02-24,85.11,86.45,76.97,79.3,179932.354
2020-02-25,79.27,82.12,75.42,76.61,153178.68
2020-02-26,76.52,78.0,68.32,70.63,149823.543
2020-02-27,70.62,72.73,66.69,70.18,126596.031
2020-02-28,70.26,71.69,66.03,68.24,123015.994
2020-02-29,68.21,69.15,65.91,66.02,105065.482
2020-03-01,65.95,67.72,63.2,64.46,123952.573
2020-03-02,64.49,69.26,64.29,68.76,113357.376
2020-03-03,68.86,69.03,64.85,65.91,108019.57
2020-03-04,65.91,68.06,64.78,65.69,78746.254
2020-03-05,65.73,70.08,65.73,68.52,104782.491
2020-03-06,68.52,69.75,67.54,69.16,77603.957
2020-03-07,69.13,69.63,65.21,65.74,115506.528
2020-03-08,65.73,65.73,55.68,56.4,165098.142
2020-03-09,56.44,57.77,52.21,55.78,189648.476
2020-03-10,55.76,56.98,53.59,54.85,120467.549
2020-03-11,54.85,56.01,50.95,54.21,118762.807
2020-03-12,54.19,54.32,30.36,32.02,393460.67
2020-03-13,31.88,40.43,24.64,36.82,292855.168
2020-03-14,36.76,40.0,35.22,36.01,188080.513
2020-03-15,36.06,41.25,35.52,37.87,203791.174
2020-03-16,37.87,38.77,29.1,33.87,257974.28
2020-03-17,33.87,37.42,33.37,36.11,191364.078
2020-03-18,36.1,37.8,33.84,37.06,296707.634
2020-03-19,37.04,42.92,35.99,40.8,219008.112
2020-03-20,40.8,45.46,36.34,40.33,366809.92
2020-03-21,40.31,42.97,38.35,41.21,317578.292
2020-03-22,41.17,42.59,37.56,37.99,209833.517
2020-03-23,37.98,44.53,37.37,44.39,190215.103
2020-03-24,44.42,48.19,43.02,47.12,223364.755
2020-03-25,47.11,48.02,44.8,47.06,153594.152
2020-03-26,47.08,51.0,47.08,50.25,263615.001
2020-03-27,50.26,51.41,47.14,47.63,172255.981
2020-03-28,47.62,48.44,44.88,47.08,208433.092
2020-03-29,47.06,47.28,43.93,43.99,126575.731
2020-03-30,44.0,47.67,43.78,46.27,147765.734
2020-03-31,46.3,48.48,46.22,47.6,81319.416
2020-04-01,47.59,48.84,46.34,48.38,77506.778
