Datetime,Open,High,Low,Close,Volume
2020-01-16,7.69,8.624,7.45,8.4,5587697.58
2020-01-17,8.394,12.197,8.149,9.16,17038610.51
2020-01-18,9.16,9.738,8.022,8.303,11694212.59
2020-01-19,8.299,9.456,7.778,8.528,13327184.18
2020-01-20,8.526,9.094,8.051,8.626,9429386.38
2020-01-21,8.63,9.143,8.51,8.943,6974909.92
2020-01-22,8.942,9.544,8.925,9.348,6355301.58
2020-01-23,9.349,9.396,8.172,8.434,7817168.0
2020-01-24,8.448,8.845,7.832,8.608,10186046.93
2020-01-25,8.608,8.68,8.076,8.393,6175285.99
2020-01-26,8.388,9.367,8.227,9.167,8158709.02
2020-01-27,9.166,11.152,9.151,10.411,16843143.66
2020-01-28,10.415,11.768,10.333,11.37,18736741.19
2020-01-29,11.376,12.88,11.334,12.238,19452378.33
2020-01-30,12.222,12.71,11.653,12.299,14120701.13
2020-01-31,12.3,12.318,10.711,11.344,14565411.89
2020-02-01,11.34,11.801,11.085,11.548,9632345.73
2020-02-02,11.547,11.759,11.11,11.386,9813015.08
2020-02-03,11.383,12.247,11.312,11.777,11135329.25
2020-02-04,11.777,11.915,11.052,11.422,8197541.17
2020-02-05,11.422,12.667,11.331,12.382,9547296.27
2020-02-06,12.382,13.251,10.865,12.128,15225195.42
2020-02-07,12.126,12.288,11.275,11.707,7308810.38
2020-02-08,11.707,11.963,11.114,11.72,5661356.76
2020-02-09,11.72,12.186,11.293,11.719,6429119.9
2020-02-10,11.719,12.083,11.37,11.849,7513381.36
2020-02-11,11.848,12.15,11.611,11.98,7874721.88
2020-02-12,11.988,12.591,11.97,12.217,7318554.67
2020-02-13,12.221,13.076,11.26,12.057,9347726.29
2020-02-14,12.061,12.09,11.689,12.029,4776858.55
2020-02-15,12.032,12.108,9.656,10.4,9943515.61
2020-02-16,10.397,10.678,8.832,9.553,11143052.45
2020-02-17,9.548,9.918,8.663,9.676,10581035.75
2020-02-18,9.682,10.012,9.15,9.871,6469800.4
2020-02-19,9.872,9.877,8.61,8.812,6082487.1
2020-02-20,8.812,9.06,8.32,8.872,6506558.56
2020-02-21,8.874,9.88,8.776,9.428,8050932.0
2020-02-22,9.429,9.739,9.284,9.497,5718897.82
2020-02-23,9.5,9.99,9.457,9.751,6538119.35
2020-02-24,9.751,9.792,9.001,9.36,7832055.43
2020-02-25,9.36,9.474,8.924,9.183,7409334.87
2020-02-26,9.178,9.369,7.23,7.683,13063466.61
2020-02-27,7.686,8.08,7.315,7.72,7759806.4
2020-02-28,7.726,7.848,7.185,7.463,7742804.58
2020-02-29,7.463,7.673,7.325,7.357,5244262.88
2020-03-01,7.356,7.933,7.354,7.741,7964946.3
2020-03-02,7.74,8.644,7.698,8.454,8471419.74
2020-03-03,8.455,8.63,8.15,8.48,7880786.59
2020-03-04,8.48,8.528,7.583,7.938,8000022.31
2020-03-05,7.942,8.461,7.941,8.186,7923438.54
2020-03-06,8.188,8.319,7.85,8.225,6321627.48
2020-03-07,8.224,8.232,7.728,7.804,6277619.31
2020-03-08,7.807,7.808,6.177,6.433,14720765.47
2020-03-09,6.43,7.03,6.352,6.918,16872559.75
2020-03-10,6.918,6.956,6.605,6.82,6517183.71
2020-03-11,6.819,6.879,6.087,6.595,7097264.34
2020-03-12,6.595,6.613,3.554,3.68,15468977.24
2020-03-13,3.7,5.224,3.066,4.838,31568187.95
2020-03-14,4.839,4.901,4.482,4.584,13048184.99
2020-03-15,4.583,5.3,4.533,5.044,8502635.14
2020-03-16,5.04,5.065,4.011,4.5,12069809.58
2020-03-17,4.499,5.005,4.36,4.591,10166777.95
2020-03-18,4.592,4.664,4.303,4.603,5960584.51
2020-03-19,4.604,5.29,4.47,5.042,7480680.91
2020-03-20,5.044,5.569,4.525,4.889,9032640.92
2020-03-21,4.89,5.149,4.668,5.012,4849289.29
2020-03-22,5.01,5.24,4.536,4.591,6399203.96
2020-03-23,4.593,5.083,4.505,4.97,5423970.58
2020-03-24,4.973,5.213,4.854,5.062,5532452.04
2020-03-25,5.06,5.28,4.889,5.017,5674020.28
2020-03-26,5.017,5.115,4.905,5.092,3875095.52
2020-03-27,5.096,5.206,4.801,4.914,3441044.13
2020-03-28,4.915,4.917,4.614,4.812,4082458.55
2020-03-29,4.81,5.06,4.773,4.811,4515932.48
2020-03-30,4.811,5.061,4.8,4.959,3412694.39
2020-03-31,4.959,5.02,4.853,4.938,2556826.65
2020-04-01,4.939,5.05,4.779,5.024,4473022.9
2020-04-02,5.027,5.361,4.963,5.093,4074882.96
2020-04-03,5.095,5.239,4.982,5.115,2671893.83
2020-04-04,5.115,5.243,5.04,5.149,2280208.89
2020-04-05,5.15,5.18,4.915,5.026,1962558.47
2020-04-06,5.026,5.628,5.022,5.621,3808626.86
2020-04-07,5.619,5.841,5.375,5.475,4031457.43
2020-04-08,5.474,5.912,5.398,5.826,5347407.74
2020-04-09,5.826,5.972,5.54,5.887,4768518.29
2020-04-10,5.887,5.918,5.06,5.25,5972932.22
2020-04-11,5.249,5.408,5.127,5.28,3578770.15
2020-04-12,5.28,5.49,5.17,5.318,2771016.02
2020-04-13,5.316,5.318,5.022,5.18,3482356.9
2020-04-14,5.179,5.35,5.094,5.245,2852248.9
2020-04-15,5.246,5.364,5.075,5.097,2936555.68
2020-04-16,5.1,5.565,4.856,5.478,4446206.92
2020-04-17,5.48,5.499,5.322,5.369,2092837.01
2020-04-18,5.368,5.682,5.365,5.657,2809384.24
2020-04-19,5.657,5.712,5.402,5.476,3018876.46
2020-04-20,5.477,5.604,5.13,5.22,3834912.97
2020-04-21,5.22,5.302,5.108,5.195,2810711.7
2020-04-22,5.196,5.459,5.151,5.388,1883079.49
2020-04-23,5.387,5.79,5.285,5.604,3175070.61
2020-04-24,5.606,5.698,5.514,5.587,3186341.27
2020-04-25,5.592,5.866,5.53,5.753,3604937.84
2020-04-26,5.75,6.261,5.724,6.213,8388876.4
2020-04-27,6.213,6.278,5.929,6.104,6830681.08
2020-04-28,6.102,6.174,5.953,6.15,3318251.95
2020-04-29,6.148,6.949,6.133,6.751,7179381.77
2020-04-30,6.75,7.006,6.269,6.448,6714776.68
2020-05-01,6.448,6.703,6.439,6.651,4405368.69
2020-05-02,6.652,7.635,6.563,7.475,13873887.92
2020-05-03,7.481,7.63,7.01,7.212,14808453.21
2020-05-04,7.213,7.364,6.623,7.217,11443362.66
2020-05-05,7.216,7.49,7.011,7.196,8877850.04
2020-05-06,7.195,7.338,6.767,6.838,5557036.82
2020-05-07,6.842,7.243,6.773,7.098,6396333.59
2020-05-08,7.099,7.328,6.935,7.151,4367561.35
2020-05-09,7.152,7.271,7.0,7.063,4381174.04
2020-05-10,7.062,7.071,5.465,6.19,11081358.47
2020-05-11,6.189,6.331,5.609,6.018,6509712.47
2020-05-12,6.018,6.227,5.857,6.087,3659645.07
2020-05-13,6.087,6.298,5.988,6.208,3211277.84
2020-05-14,6.211,6.366,6.069,6.268,3512940.92
2020-05-15,6.271,6.702,6.087,6.5,7594729.92
2020-05-16,6.5,6.853,6.417,6.693,8938977.71
2020-05-17,6.691,6.785,6.498,6.655,3022386.87
2020-05-18,6.657,6.919,6.58,6.71,3574248.96
2020-05-19,6.712,6.73,6.552,6.677,2184320.01
2020-05-20,6.673,6.69,6.237,6.452,3149544.2
2020-05-21,6.454,6.529,5.922,6.126,3564243.11
2020-05-22,6.127,6.612,6.078,6.463,3590842.03
2020-05-23,6.461,6.634,6.383,6.553,2484893.59
2020-05-24,6.555,6.788,6.481,6.572,5715330.39
2020-05-25,6.573,6.918,6.483,6.802,5276268.53
2020-05-26,6.804,6.832,6.525,6.703,3228765.27
2020-05-27,6.704,6.852,6.664,6.771,2322809.29
2020-05-28,6.771,6.883,6.67,6.857,2440388.97
2020-05-29,6.861,7.315,6.858,7.223,5587393.48
2020-05-30,7.223,7.583,7.096,7.49,5015625.81
2020-05-31,7.49,7.494,6.569,6.935,5227373.42
2020-06-01,6.932,7.262,6.851,7.21,4267300.31
2020-06-02,7.21,7.326,6.6,6.976,4299067.45
2020-06-03,6.979,7.016,6.801,6.939,2594140.5
2020-06-04,6.941,7.044,6.758,6.912,3595664.57
2020-06-05,6.912,6.967,6.767,6.837,2554509.94
2020-06-06,6.835,6.917,6.775,6.863,1526186.18
2020-06-07,6.864,6.888,6.612,6.829,2104388.68
2020-06-08,6.83,6.947,6.73,6.901,2454023.56
2020-06-09,6.901,6.935,6.708,6.783,1601913.71
2020-06-10,6.78,6.848,6.689,6.81,1865075.21
2020-06-11,6.809,6.836,6.027,6.26,3289699.07
2020-06-12,6.26,6.495,6.204,6.4,1551438.63
2020-06-13,6.402,6.514,6.329,6.491,1215441.51
2020-06-14,6.493,6.493,6.251,6.316,1350528.49
2020-06-15,6.317,6.321,5.98,6.242,1872678.44
2020-06-16,6.242,6.312,6.167,6.247,1620134.1
2020-06-17,6.249,6.375,6.138,6.278,2138230.44
2020-06-18,6.282,6.291,6.096,6.207,1129694.33
2020-06-19,6.208,6.43,6.145,6.341,3719447.45
2020-06-20,6.341,6.367,6.158,6.262,1998340.42
2020-06-21,6.262,6.281,6.172,6.211,1576545.56
