Datetime,Open,High,Low,Close,Volume
2020-09-16,0.416,0.458,0.416,0.4401,2859499.0
2020-09-17,0.4398,0.4516,0.4071,0.42,2848924.0
2020-09-18,0.4195,0.444,0.3937,0.4109,3122456.0
2020-09-19,0.4109,0.4384,0.4024,0.4377,1870275.0
2020-09-20,0.4383,0.4394,0.3879,0.4086,3047050.0
2020-09-21,0.4083,0.4103,0.334,0.3444,3263631.0
2020-09-22,0.3442,0.3556,0.305,0.3366,7913293.0
2020-09-23,0.3364,0.3421,0.3001,0.3013,5018896.0
2020-09-24,0.3019,0.3385,0.2971,0.338,5126539.0
2020-09-25,0.338,0.3807,0.3238,0.3639,11619334.0
2020-09-26,0.3637,0.4028,0.3619,0.3997,14321681.0
2020-09-27,0.4003,0.4075,0.3675,0.3901,5269527.0
2020-09-28,0.3902,0.46,0.3888,0.4342,24190208.0
2020-09-29,0.4337,0.5176,0.4305,0.503,51356304.0
2020-09-30,0.503,0.5356,0.4845,0.5119,29035853.0
2020-10-01,0.512,0.5159,0.4476,0.4738,18113795.0
2020-10-02,0.4737,0.5043,0.4219,0.4689,25570932.0
2020-10-03,0.4689,0.4766,0.454,0.4602,9770534.0
2020-10-04,0.4598,0.4693,0.4395,0.4667,8190025.0
2020-10-05,0.4667,0.5094,0.4662,0.5037,14285542.0
2020-10-06,0.5039,0.5062,0.4428,0.4525,14868801.0
2020-10-07,0.4526,0.4798,0.4375,0.4782,15993466.0
2020-10-08,0.478,0.485,0.4508,0.4812,9712091.0
2020-10-09,0.4801,0.5321,0.4637,0.5145,12384404.0
2020-10-10,0.5138,0.6616,0.5111,0.6388,41809724.0
2020-10-11,0.6388,0.6398,0.567,0.5899,36992201.0
2020-10-12,0.5909,0.6256,0.5584,0.5825,29002757.0
2020-10-13,0.5817,0.6318,0.5732,0.5834,19475902.0
2020-10-14,0.5833,0.605,0.5129,0.5174,21371035.0
2020-10-15,0.5178,0.53,0.467,0.4756,40952309.0
2020-10-16,0.4758,0.4773,0.4173,0.4285,33913517.0
2020-10-17,0.4291,0.4464,0.41,0.4327,18203943.0
2020-10-18,0.4327,0.4513,0.4252,0.4462,11081086.0
2020-10-19,0.446,0.4479,0.3933,0.4027,14469635.0
2020-10-20,0.4024,0.404,0.3656,0.3713,17170026.0
2020-10-21,0.3713,0.3955,0.3682,0.3831,15305746.0
2020-10-22,0.3831,0.4052,0.3715,0.3893,13076853.0
2020-10-23,0.3893,0.3939,0.3699,0.3828,8600432.0
2020-10-24,0.3824,0.4003,0.3711,0.3927,9032450.0
2020-10-25,0.3929,0.417,0.3851,0.4138,18456120.0
2020-10-26,0.4142,0.4151,0.3541,0.3694,16943737.0
2020-10-27,0.3695,0.3771,0.3495,0.3603,17805771.0
2020-10-28,0.3602,0.3632,0.32,0.3306,14080731.0
2020-10-29,0.3308,0.3447,0.3181,0.3378,11747691.0
2020-10-30,0.3377,0.342,0.31,0.318,13569577.0
2020-10-31,0.3181,0.333,0.3161,0.3186,8712767.0
2020-11-01,0.3183,0.3298,0.3111,0.3256,6909145.0
2020-11-02,0.3259,0.3299,0.3023,0.3033,7302502.0
2020-11-03,0.3035,0.3044,0.2761,0.2847,8784813.0
2020-11-04,0.2849,0.2875,0.2597,0.271,8956985.0
2020-11-05,0.2713,0.2856,0.2673,0.2826,10125833.0
2020-11-06,0.2827,0.3839,0.2816,0.3682,38468244.0
2020-11-07,0.3681,0.3845,0.3146,0.3273,40771208.0
2020-11-08,0.3274,0.3647,0.3216,0.3534,25341138.0
2020-11-09,0.3536,0.3587,0.33,0.3474,15038449.0
2020-11-10,0.3474,0.3768,0.3445,0.3677,11901707.0
2020-11-11,0.3677,0.407,0.3636,0.364,17925468.0
2020-11-12,0.3637,0.3673,0.3355,0.3458,9841522.0
2020-11-13,0.3464,0.3634,0.3433,0.3569,12202323.0
2020-11-14,0.357,0.3648,0.3388,0.3531,10611277.0
2020-11-15,0.3531,0.3595,0.327,0.3393,11600249.0
2020-11-16,0.3392,0.3556,0.3355,0.3443,10353074.0
2020-11-17,0.3446,0.3632,0.3422,0.3545,14865944.0
2020-11-18,0.3547,0.3595,0.3079,0.3288,14944593.0
2020-11-19,0.3288,0.3304,0.3104,0.3205,10609278.0
2020-11-20,0.3205,0.3359,0.3185,0.3274,13131250.0
2020-11-21,0.3274,0.3691,0.3237,0.3683,22351828.0
2020-11-22,0.3687,0.3711,0.3212,0.3463,21918393.0
2020-11-23,0.3463,0.371,0.3366,0.3691,21186142.0
2020-11-24,0.3692,0.4043,0.3482,0.4031,32523960.0
2020-11-25,0.4032,0.4531,0.3838,0.3994,41692849.0
2020-11-26,0.3994,0.4235,0.3098,0.3383,47916101.0
2020-11-27,0.3383,0.3459,0.3149,0.3286,14788643.0
2020-11-28,0.3287,0.3476,0.3237,0.3402,10587182.0
2020-11-29,0.3399,0.3456,0.3323,0.3401,8417776.0
2020-11-30,0.3403,0.357,0.3293,0.3537,12077682.0
2020-12-01,0.3538,0.3736,0.3258,0.3475,21571057.0
2020-12-02,0.3472,0.3886,0.3418,0.3822,16544034.0
2020-12-03,0.3819,0.4004,0.3691,0.3779,11025730.0
2020-12-04,0.3778,0.3903,0.3356,0.3375,14098877.0
2020-12-05,0.3371,0.3722,0.3344,0.372,8417773.0
2020-12-06,0.3718,0.3747,0.347,0.3561,5553139.0
2020-12-07,0.3564,0.3578,0.344,0.3515,3095507.0
2020-12-08,0.3512,0.3806,0.343,0.3503,19197354.0
2020-12-09,0.3503,0.3514,0.3183,0.3388,7722207.0
2020-12-10,0.3391,0.351,0.32,0.3414,8611360.0
2020-12-11,0.342,0.3469,0.3197,0.329,13724150.0
2020-12-12,0.3285,0.3471,0.3284,0.343,4933205.0
2020-12-13,0.3434,0.3558,0.3398,0.351,4056761.0
2020-12-14,0.3508,0.3512,0.3405,0.3461,3743846.0
2020-12-15,0.3461,0.358,0.3396,0.358,4300714.0
2020-12-16,0.3577,0.3712,0.3503,0.3637,11069009.0
2020-12-17,0.3635,0.3796,0.3518,0.3556,14253551.0
2020-12-18,0.3557,0.3651,0.3469,0.3632,6887401.0
2020-12-19,0.3633,0.4048,0.3633,0.382,20605220.0
2020-12-20,0.3822,0.3844,0.3473,0.3588,9839256.0
2020-12-21,0.3588,0.3715,0.3291,0.3409,12331989.0
2020-12-22,0.3411,0.3483,0.3266,0.3398,11207667.0
2020-12-23,0.3399,0.3435,0.2526,0.2777,16867336.0
2020-12-24,0.2775,0.3097,0.2595,0.3092,22093369.0
2020-12-25,0.3087,0.3142,0.2898,0.3007,14343239.0
2020-12-26,0.3006,0.3044,0.2849,0.2949,8853743.0
2020-12-27,0.2949,0.3172,0.2865,0.2979,25800809.0
2020-12-28,0.2975,0.3221,0.2956,0.3125,16930265.0
2020-12-29,0.3127,0.3179,0.281,0.2987,20221340.0
2020-12-30,0.2991,0.3022,0.2841,0.2915,6544838.0
2020-12-31,0.2915,0.2927,0.275,0.2918,14841823.0
2021-01-01,0.2919,0.3052,0.2869,0.2952,12196475.0
2021-01-02,0.2955,0.298,0.285,0.2932,7557069.0
2021-01-03,0.2935,0.3237,0.2921,0.3143,40577550.0
2021-01-04,0.3143,0.3412,0.2815,0.3042,33972000.0
2021-01-05,0.3041,0.3221,0.2845,0.3115,30300449.0
2021-01-06,0.3118,0.3581,0.3063,0.3533,30934970.0
2021-01-07,0.3536,0.3816,0.326,0.3481,33597040.0
2021-01-08,0.3482,0.4221,0.3141,0.3807,57572556.0
2021-01-09,0.3812,0.4389,0.3587,0.3999,51574957.0
2021-01-10,0.4001,0.482,0.3639,0.4041,80893128.0
2021-01-11,0.4039,0.4052,0.29,0.3312,58146413.0
2021-01-12,0.3312,0.3476,0.3068,0.3259,19991128.0
