Datetime,Open,High,Low,Close,Volume
2020-11-18,0.2074,0.2101,0.1717,0.183,19905794.759999998
2020-11-19,0.1834,0.2121,0.1801,0.2062,24421509.900000006
2020-11-20,0.2065,0.228,0.1947,0.1981,23660517.919999998
2020-11-21,0.1979,0.2333,0.1907,0.2196,22336260.550000004
2020-11-22,0.2201,0.2225,0.1911,0.2051,14708103.579999998
2020-11-23,0.2053,0.2295,0.2014,0.2242,13014632.98
2020-11-24,0.2242,0.2417,0.207,0.2272,13613518.69
2020-11-25,0.228,0.2449,0.2055,0.2157,15629325.159999998
2020-11-26,0.2157,0.2225,0.1615,0.1774,17933413.110000003
2020-11-27,0.1784,0.196,0.17,0.1801,12061334.77
2020-11-28,0.1801,0.1928,0.1737,0.1842,9936535.989999998
2020-11-29,0.1842,0.1872,0.1767,0.1847,3593075.620000001
2020-11-30,0.1849,0.1922,0.179,0.1887,7916875.959999998
2020-12-01,0.1887,0.2034,0.1731,0.1812,9750335.75
2020-12-02,0.1808,0.1974,0.1768,0.194,11054601.489999998
2020-12-03,0.194,0.236,0.1932,0.2266,23505414.01
2020-12-04,0.2266,0.2329,0.1843,0.1883,19535651.42
2020-12-05,0.1886,0.199,0.1852,0.199,6148763.850000001
2020-12-06,0.1986,0.2023,0.1888,0.1983,7946551.790000001
2020-12-07,0.1981,0.1996,0.1922,0.1947,6457535.3900000015
2020-12-08,0.1947,0.2125,0.1806,0.1986,27312050.53
2020-12-09,0.1983,0.24,0.1882,0.2251,42180866.0
2020-12-10,0.2255,0.2313,0.2,0.2008,17084391.500000004
2020-12-11,0.2003,0.2008,0.1815,0.1842,10932265.39
2020-12-12,0.184,0.1959,0.175,0.1883,8393273.430000002
2020-12-13,0.1884,0.1993,0.1861,0.1948,6413379.13
2020-12-14,0.195,0.2128,0.1919,0.2051,11239839.94
2020-12-15,0.2056,0.2128,0.1962,0.2005,7842740.259999999
2020-12-16,0.2006,0.2025,0.1904,0.1966,9215680.679999998
2020-12-17,0.1965,0.2116,0.1947,0.201,9948585.190000001
2020-12-18,0.2006,0.2096,0.196,0.2037,7841791.26
2020-12-19,0.2041,0.2199,0.2008,0.2029,8679969.52
2020-12-20,0.2029,0.2029,0.178,0.1879,9661561.530000001
2020-12-21,0.1875,0.19,0.1635,0.1678,12675354.769999998
2020-12-22,0.1684,0.1709,0.1559,0.1677,8212921.18
2020-12-23,0.1677,0.17,0.1247,0.1326,10839701.84
2020-12-24,0.1325,0.1479,0.1275,0.1465,6759043.320000001
2020-12-25,0.1466,0.1516,0.1383,0.14,7199539.68
2020-12-26,0.1402,0.1419,0.1308,0.1366,6360568.390000001
2020-12-27,0.1367,0.1432,0.1262,0.1309,14750709.589999998
2020-12-28,0.1309,0.1432,0.1291,0.1375,16425881.57
2020-12-29,0.1375,0.1415,0.122,0.1313,14492197.629999999
2020-12-30,0.1315,0.133,0.1241,0.128,8134767.0
2020-12-31,0.128,0.129,0.1198,0.125,12919241.270000003
2021-01-01,0.1255,0.1307,0.1227,0.1295,11669504.669999998
2021-01-02,0.1295,0.1328,0.1184,0.1235,13964037.74
2021-01-03,0.1237,0.1339,0.1217,0.132,12741665.74
2021-01-04,0.1323,0.1539,0.1245,0.1425,28197772.739999995
2021-01-05,0.1426,0.1509,0.1299,0.1422,19244817.070000004
2021-01-06,0.1424,0.158,0.1401,0.1494,23245009.750000004
2021-01-07,0.1494,0.1625,0.1355,0.1426,22618621.369999997
2021-01-08,0.1428,0.1499,0.1264,0.1466,25817019.759999998
2021-01-09,0.1465,0.1629,0.1402,0.1548,18985887.569999997
2021-01-10,0.1551,0.1756,0.149,0.1713,36579578.61000001
2021-01-11,0.1715,0.1782,0.1351,0.1481,37217062.02999999
2021-01-12,0.1482,0.1619,0.1412,0.1469,14838594.639999999
2021-01-13,0.1465,0.1548,0.1392,0.1519,14006618.38
2021-01-14,0.1519,0.158,0.1449,0.1547,18326792.919999998
2021-01-15,0.1545,0.1676,0.1405,0.1531,22505577.109999992
2021-01-16,0.153,0.1756,0.1511,0.1704,31376330.520000007
2021-01-17,0.1705,0.1997,0.1627,0.1903,44961600.17
2021-01-18,0.1906,0.2081,0.1797,0.2008,32170765.110000003
2021-01-19,0.2009,0.2018,0.178,0.1784,17710291.59
2021-01-20,0.1782,0.184,0.1628,0.18,23888902.51
2021-01-21,0.1799,0.1812,0.1562,0.1582,31996685.11
2021-01-22,0.1582,0.1848,0.1473,0.1716,26368020.42
2021-01-23,0.1715,0.1985,0.1696,0.1955,27364815.0
2021-01-24,0.1957,0.2051,0.179,0.189,25308528.290000003
2021-01-25,0.1891,0.2287,0.1886,0.2207,43037560.51
2021-01-26,0.2205,0.25,0.1903,0.2104,44859237.18999999
2021-01-27,0.2104,0.2108,0.1705,0.189,42686473.739999995
2021-01-28,0.1888,0.2249,0.1851,0.2069,39828597.98
2021-01-29,0.207,0.227,0.1824,0.2006,30065233.489999995
2021-01-30,0.2005,0.2292,0.1949,0.2243,29579117.69
2021-01-31,0.2245,0.2437,0.2126,0.2417,31843648.189999994
2021-02-01,0.242,0.3392,0.241,0.2993,128614336.33999999
2021-02-02,0.2994,0.3153,0.2753,0.3035,39817225.39
2021-02-03,0.3033,0.361,0.2908,0.3408,36494007.82999999
2021-02-04,0.341,0.358,0.2938,0.3428,44984572.949999996
2021-02-05,0.3434,0.4338,0.3325,0.3766,53228423.339999996
2021-02-06,0.3767,0.3875,0.2907,0.3452,41215379.04
2021-02-07,0.3453,0.3878,0.3055,0.361,39543540.14000001
2021-02-08,0.361,0.43,0.3346,0.416,47205631.80000001
2021-02-09,0.4158,0.4499,0.3904,0.4323,37386313.9
2021-02-10,0.4323,0.4804,0.3724,0.4278,43031462.61
2021-02-11,0.4277,0.5495,0.4076,0.5086,38556526.279999994
2021-02-12,0.5096,0.6116,0.5033,0.5586,40191927.660000004
2021-02-13,0.5584,0.6524,0.5215,0.627,36403578.64
2021-02-14,0.627,0.66,0.5432,0.5434,26142112.369999994
2021-02-15,0.5441,0.5918,0.401,0.5118,40366827.28
2021-02-16,0.5133,0.5544,0.4586,0.4855,25544327.57
2021-02-17,0.4856,0.5434,0.43,0.512,40073712.919999994
2021-02-18,0.5122,0.57,0.5015,0.5278,34128284.129999995
2021-02-19,0.5283,0.5745,0.4942,0.5641,27894257.55
2021-02-20,0.5659,0.5853,0.45,0.5019,27802844.06
2021-02-21,0.5009,0.5551,0.4864,0.5111,20504059.7
2021-02-22,0.5114,0.519,0.3546,0.4522,44395430.779999994
2021-02-23,0.4522,0.4594,0.279,0.34,57563835.280000016
2021-02-24,0.3399,0.394,0.3187,0.3405,40258833.739999995
2021-02-25,0.3402,0.38,0.316,0.3245,29339613.32
2021-02-26,0.3244,0.3472,0.2884,0.3215,27525688.91
2021-02-27,0.3209,0.3533,0.32,0.3311,19285388.51
2021-02-28,0.3315,0.3335,0.2728,0.3188,26106580.400000002
2021-03-01,0.32,0.3727,0.317,0.3689,25385013.080000002
2021-03-02,0.3689,0.3814,0.331,0.3473,22379281.220000003
2021-03-03,0.3465,0.408,0.3426,0.3842,29595964.920000006
2021-03-04,0.3841,0.3992,0.3434,0.3581,22534007.009999998
2021-03-05,0.3584,0.381,0.3315,0.3634,21237716.060000002
2021-03-06,0.3636,0.3751,0.3473,0.3674,10324655.28
2021-03-07,0.3673,0.3889,0.3648,0.3828,20422660.93
2021-03-08,0.3827,0.4285,0.3666,0.428,28397378.779999997
2021-03-09,0.4283,0.4553,0.4085,0.4466,24073272.660000004
2021-03-10,0.4466,0.483,0.405,0.4306,27369961.01
2021-03-11,0.431,0.4995,0.4064,0.4969,36215629.73
2021-03-12,0.4973,0.4992,0.4223,0.4722,39033197.94
2021-03-13,0.4721,0.524,0.4428,0.4967,30178366.929999992
2021-03-14,0.4967,0.5066,0.4673,0.4674,17469341.05
2021-03-15,0.4679,0.545,0.4501,0.462,38566863.00999999
2021-03-16,0.4617,0.4761,0.435,0.4714,28837961.1
2021-03-17,0.4722,0.543,0.4637,0.5363,33519046.41000001
2021-03-18,0.5367,0.5636,0.5213,0.532,25965488.48
2021-03-19,0.5331,0.582,0.5133,0.5525,19939519.39
2021-03-20,0.5518,0.5749,0.5122,0.514,12058914.04
2021-03-21,0.514,0.5622,0.4867,0.5326,17006645.45
2021-03-22,0.5333,0.57,0.4823,0.4915,18171419.360000003
2021-03-23,0.4915,0.5123,0.4658,0.478,16753243.690000003
2021-03-24,0.4782,0.54,0.4212,0.442,20661059.740000002
2021-03-25,0.4404,0.47,0.402,0.4181,21789043.070000008
2021-03-26,0.418,0.4793,0.4174,0.4597,18469552.169999994
2021-03-27,0.4592,0.4966,0.4533,0.4742,14016811.190000001
2021-03-28,0.4745,0.6282,0.4708,0.6264,49149018.46
2021-03-29,0.6263,0.729,0.5963,0.6464,80753666.91000001
2021-03-30,0.646,0.6848,0.63,0.6631,27132164.349999998
2021-03-31,0.6638,0.8898,0.6,0.8654,73131592.59
2021-04-01,0.8633,0.9,0.7339,0.7748,33225325.409999996
2021-04-02,0.776,0.9453,0.7408,0.8437,56049234.48999999
2021-04-03,0.8439,0.8815,0.768,0.774,28183647.880000003
2021-04-04,0.7729,0.8728,0.7612,0.8343,22541633.1
2021-04-05,0.8342,0.97,0.7932,0.97,32182599.450000007
2021-04-06,0.9696,1.14,0.9284,1.1015,55016155.06
2021-04-07,1.101,1.25,0.8713,0.9155,59461187.75
2021-04-08,0.9177,0.9999,0.9075,0.9323,23575046.89
2021-04-09,0.9321,1.09,0.88,1.0237,50662360.589999996
2021-04-10,1.0232,1.0889,0.9285,0.9661,27585059.94
