Datetime,Open,High,Low,Close,Volume
2020-08-21,0.5397,0.5397,0.401,0.4314,2884153.28
2020-08-22,0.4317,0.4987,0.412,0.4712,4198278.44
2020-08-23,0.469,0.494,0.4523,0.4821,10755011.030000001
2020-08-24,0.4821,0.5334,0.4792,0.5315,2243774.7499999995
2020-08-25,0.5323,0.5324,0.4478,0.4619,2608675.14
2020-08-26,0.4619,0.4983,0.4603,0.498,1831323.23
2020-08-27,0.4983,0.5182,0.4701,0.5046,3018123.5300000003
2020-08-28,0.5033,0.57,0.5017,0.5662,3694034.1099999994
2020-08-29,0.5662,0.5691,0.5165,0.538,2172028.1600000006
2020-08-30,0.538,0.563,0.5222,0.5326,2697793.4899999998
2020-08-31,0.5333,0.535,0.5078,0.5097,2704706.0999999996
2020-09-01,0.5105,0.5106,0.4745,0.4808,3953475.6799999992
2020-09-02,0.4806,0.4814,0.4185,0.4428,3695631.0100000007
2020-09-03,0.4428,0.45,0.37,0.3778,4072613.6899999995
2020-09-04,0.3748,0.3813,0.3598,0.3685,3338968.01
2020-09-05,0.3689,0.3777,0.3183,0.3264,2996620.05
2020-09-06,0.3261,0.3363,0.3104,0.3325,3122558.1699999995
2020-09-07,0.3325,0.3378,0.3071,0.3257,2699267.6900000004
2020-09-08,0.3258,0.3287,0.3078,0.3165,2027110.7800000003
2020-09-09,0.3162,0.3291,0.3084,0.3167,1831995.91
2020-09-10,0.3167,0.3868,0.3163,0.3498,4329407.69
2020-09-11,0.3497,0.357,0.3141,0.3384,4030025.9499999997
2020-09-12,0.3383,0.3391,0.318,0.3294,5214097.919999999
2020-09-13,0.3291,0.3483,0.3001,0.3088,3657468.6
2020-09-14,0.3087,0.3247,0.3061,0.3194,1786079.7800000003
2020-09-15,0.3193,0.355,0.3053,0.335,6603185.340000002
2020-09-16,0.3345,0.3612,0.3183,0.3206,6922022.929999999
2020-09-17,0.3202,0.3309,0.31,0.3119,4116296.53
2020-09-18,0.3116,0.3307,0.3089,0.3196,4156463.87
2020-09-19,0.3196,0.3226,0.3058,0.3179,1752924.5
2020-09-20,0.3175,0.325,0.3028,0.3094,1619967.7899999998
2020-09-21,0.3093,0.3161,0.288,0.2884,2278558.04
2020-09-22,0.2891,0.3041,0.2881,0.3003,1095021.61
2020-09-23,0.3005,0.3038,0.2899,0.2909,640287.0499999999
2020-09-24,0.2909,0.3036,0.2879,0.3029,1367873.8200000005
2020-09-25,0.3034,0.3411,0.2898,0.324,4969756.619999998
2020-09-26,0.324,0.33,0.31,0.3154,1556314.8599999999
2020-09-27,0.3148,0.3184,0.3093,0.3133,789126.3300000001
2020-09-28,0.3134,0.3499,0.3134,0.3223,2509797.0399999986
2020-09-29,0.3221,0.3579,0.3218,0.3344,3732916.569999999
2020-09-30,0.3347,0.3427,0.327,0.3348,1845947.9199999995
2020-10-01,0.3346,0.3402,0.3098,0.3174,1894328.22
2020-10-02,0.3174,0.3395,0.2894,0.3289,3217498.12
2020-10-03,0.3288,0.3324,0.3083,0.3101,2381038.2899999996
2020-10-04,0.31,0.3111,0.2997,0.3013,644186.76
2020-10-05,0.301,0.3288,0.3002,0.3107,2472714.84
2020-10-06,0.3107,0.3208,0.2911,0.2941,1394959.67
2020-10-07,0.294,0.3045,0.287,0.304,752055.1499999999
2020-10-08,0.3041,0.305,0.2929,0.301,926544.3600000001
2020-10-09,0.301,0.3193,0.301,0.3183,1188578.23
2020-10-10,0.3184,0.3206,0.3,0.3082,1966877.33
2020-10-11,0.3081,0.338,0.3024,0.322,2032821.4999999998
2020-10-12,0.322,0.3331,0.3114,0.3274,1291992.7700000003
