Datetime,Open,High,Low,Close,Volume
2004-01-02,2561.0,2867.0,2561.0,2867.0,881377.0
2004-01-05,3062.0,3201.0,2561.0,2561.0,703776.0
2004-01-06,2700.0,2756.0,2572.0,2616.0,149324.0
2004-01-07,2616.0,2616.0,2396.0,2505.0,83488.0
2004-01-08,2505.0,2806.0,2505.0,2806.0,301287.0
2004-01-09,2884.0,3034.0,2789.0,2884.0,223335.0
2004-01-12,2967.0,3229.0,2856.0,3229.0,249202.0
2004-01-13,3435.0,3435.0,3179.0,3301.0,182236.0
2004-01-14,3379.0,3379.0,3062.0,3168.0,83319.0
2004-01-15,3151.0,3346.0,3034.0,3173.0,99202.0
2004-01-16,3173.0,3218.0,2967.0,3173.0,46448.0
2004-01-19,3201.0,3223.0,3034.0,3034.0,24623.0
2004-01-20,2928.0,3034.0,2895.0,2939.0,22337.0
2004-01-26,2895.0,3084.0,2895.0,2978.0,32374.0
2004-01-27,2995.0,3000.0,2856.0,2895.0,27058.0
2004-01-28,2973.0,2973.0,2616.0,2739.0,64141.0
2004-01-29,2878.0,2878.0,2728.0,2833.0,27523.0
2004-01-30,2828.0,2828.0,2705.0,2789.0,21583.0
2004-02-02,2733.0,2789.0,2561.0,2639.0,122053.0
2004-02-03,2627.0,2717.0,2588.0,2650.0,15673.0
2004-02-04,2616.0,2672.0,2561.0,2588.0,46151.0
2004-02-05,2561.0,2711.0,2561.0,2666.0,62031.0
2004-02-06,2678.0,2700.0,2594.0,2650.0,31492.0
2004-02-09,2739.0,2739.0,2666.0,2700.0,82427.0
2004-02-10,2650.0,2717.0,2616.0,2650.0,33147.0
2004-02-11,2672.0,2711.0,2650.0,2705.0,19443.0
2004-02-12,2733.0,2950.0,2680.0,2806.0,124805.0
2004-02-13,2806.0,2850.0,2756.0,2800.0,36166.0
2004-02-16,2811.0,2867.0,2783.0,2783.0,92381.0
2004-02-17,2800.0,2934.0,2794.0,2895.0,134117.0
2004-02-18,2895.0,3006.0,2839.0,2950.0,130837.0
2004-02-19,2900.0,2989.0,2839.0,2895.0,127005.0
2004-02-20,2872.0,2950.0,2800.0,2895.0,90352.0
2004-02-23,2900.0,2900.0,2828.0,2839.0,26404.0
2004-02-24,2817.0,2884.0,2728.0,2772.0,51284.0
2004-02-25,2772.0,2828.0,2717.0,2783.0,73269.0
2004-02-26,2811.0,2811.0,2703.0,2703.0,23217.0
2004-02-27,2672.0,2806.0,2633.0,2783.0,81771.0
2004-03-02,2747.0,2845.0,2714.0,2822.0,123344.0
2004-03-03,2800.0,3000.0,2800.0,2934.0,137025.0
2004-03-04,2967.0,3129.0,2945.0,2984.0,216551.0
2004-03-05,3034.0,3151.0,2945.0,3090.0,107379.0
2004-03-08,3218.0,3223.0,3012.0,3028.0,102796.0
2004-03-09,2962.0,2995.0,2906.0,2945.0,97178.0
2004-03-10,2945.0,3156.0,2911.0,3017.0,199736.0
2004-03-11,2934.0,3190.0,2934.0,3117.0,145039.0
2004-03-12,3062.0,3140.0,2744.0,2895.0,191967.0
2004-03-15,2950.0,3051.0,2928.0,3006.0,115709.0
2004-03-16,2978.0,3028.0,2923.0,3028.0,83307.0
2004-03-17,3078.0,3390.0,3078.0,3335.0,576917.0
2004-03-18,3335.0,3507.0,3251.0,3296.0,459795.0
2004-03-19,3329.0,3490.0,3329.0,3451.0,262356.0
2004-03-22,3451.0,3563.0,3396.0,3451.0,327635.0
2004-03-23,3479.0,3630.0,3418.0,3557.0,371030.0
2004-03-24,3568.0,3568.0,3340.0,3340.0,254542.0
2004-03-25,3407.0,3451.0,3190.0,3284.0,176474.0
2004-03-26,3351.0,3641.0,3340.0,3507.0,579016.0
2004-03-29,3607.0,3607.0,3418.0,3502.0,218675.0
2004-03-30,3563.0,3919.0,3563.0,3919.0,792963.0
2004-03-31,4120.0,4387.0,4120.0,4387.0,336911.0
2004-04-01,4910.0,4910.0,4615.0,4910.0,1467066.0
2004-04-02,5016.0,5278.0,4988.0,5010.0,1242850.0
2004-04-06,5116.0,5456.0,4888.0,5183.0,801081.0
