Datetime,Open,High,Low,Close,Volume
2008-09-23,1842.0,2118.0,1565.0,1565.0,4771633.0
2008-09-24,1600.0,1800.0,1529.0,1800.0,3177895.0
2008-09-25,1889.0,2068.0,1800.0,2068.0,2462021.0
2008-09-26,2210.0,2363.0,1800.0,1950.0,3457201.0
2008-09-29,2005.0,2242.0,1984.0,2242.0,1664452.0
2008-09-30,2263.0,2547.0,2168.0,2534.0,4713313.0
2008-10-01,2573.0,2752.0,2292.0,2458.0,2288934.0
2008-10-02,2563.0,2637.0,2089.0,2092.0,1707931.0
2008-10-06,2018.0,2042.0,1779.0,1779.0,788347.0
2008-10-07,1626.0,1739.0,1531.0,1684.0,834111.0
2008-10-08,1584.0,1647.0,1431.0,1431.0,421303.0
2008-10-09,1389.0,1518.0,1223.0,1336.0,699888.0
2008-10-10,1215.0,1223.0,1136.0,1136.0,225415.0
2008-10-13,1176.0,1305.0,1176.0,1305.0,230538.0
2008-10-14,1436.0,1500.0,1394.0,1500.0,764214.0
2008-10-15,1452.0,1689.0,1421.0,1579.0,1168268.0
2008-10-16,1442.0,1531.0,1342.0,1342.0,468838.0
2008-10-17,1436.0,1515.0,1194.0,1315.0,615544.0
2008-10-20,1321.0,1379.0,1165.0,1194.0,357334.0
2008-10-21,1263.0,1326.0,1194.0,1194.0,702447.0
2008-10-22,1218.0,1373.0,1194.0,1373.0,1208427.0
2008-10-23,1400.0,1536.0,1168.0,1210.0,3654545.0
2008-10-24,1260.0,1286.0,1029.0,1029.0,884835.0
2008-10-27,921.0,1052.0,876.0,876.0,403490.0
2008-10-28,792.0,963.0,747.0,910.0,932591.0
2008-10-29,965.0,1000.0,776.0,776.0,713723.0
2008-10-30,805.0,892.0,786.0,892.0,381895.0
2008-10-31,910.0,963.0,842.0,926.0,971649.0
2008-11-03,947.0,1026.0,921.0,973.0,797964.0
2008-11-04,1000.0,1023.0,942.0,986.0,465538.0
2008-11-05,1044.0,1126.0,868.0,957.0,496832.0
2008-11-06,921.0,942.0,894.0,921.0,240354.0
2008-11-07,892.0,997.0,884.0,968.0,519341.0
2008-11-10,968.0,1005.0,950.0,950.0,355053.0
2008-11-11,921.0,1092.0,905.0,1092.0,634509.0
2008-11-12,1168.0,1223.0,1052.0,1052.0,1092883.0
2008-11-13,1021.0,1039.0,931.0,973.0,565172.0
2008-11-14,1047.0,1118.0,976.0,992.0,1171172.0
2008-11-17,994.0,1068.0,973.0,1005.0,419706.0
2008-11-18,984.0,1023.0,973.0,1013.0,318324.0
2008-11-19,1034.0,1113.0,965.0,986.0,449786.0
2008-11-20,947.0,963.0,894.0,963.0,215157.0
2008-11-21,915.0,1105.0,913.0,1105.0,256531.0
2008-11-24,1210.0,1271.0,984.0,984.0,1754967.0
2008-11-25,1015.0,1102.0,986.0,1031.0,933939.0
2008-11-26,1073.0,1131.0,1042.0,1052.0,814088.0
2008-11-27,1065.0,1089.0,1031.0,1031.0,429945.0
2008-11-28,1060.0,1113.0,1031.0,1034.0,557837.0
2008-12-01,1047.0,1071.0,1000.0,1000.0,271338.0
2008-12-02,936.0,994.0,929.0,994.0,341402.0
2008-12-03,1018.0,1031.0,979.0,1031.0,544644.0
2008-12-04,1105.0,1121.0,1005.0,1005.0,654687.0
2008-12-05,1021.0,1021.0,947.0,994.0,235537.0
2008-12-08,1010.0,1047.0,1010.0,1031.0,364109.0
2008-12-09,1042.0,1100.0,1029.0,1084.0,384697.0
2008-12-10,1086.0,1115.0,1044.0,1057.0,287803.0
2008-12-11,1073.0,1215.0,1060.0,1215.0,1826992.0
2008-12-12,1221.0,1221.0,1034.0,1034.0,789821.0
2008-12-15,1076.0,1105.0,1063.0,1089.0,536883.0
2008-12-16,1089.0,1184.0,1068.0,1184.0,776519.0
2008-12-17,1210.0,1236.0,1142.0,1194.0,470429.0
2008-12-18,1215.0,1347.0,1184.0,1310.0,822399.0
2008-12-19,1315.0,1352.0,1250.0,1289.0,391034.0
2008-12-22,1368.0,1368.0,1160.0,1194.0,224885.0
2008-12-23,1186.0,1215.0,1105.0,1129.0,204485.0
2008-12-24,1113.0,1126.0,1031.0,1050.0,161316.0
2008-12-26,1052.0,1071.0,1021.0,1042.0,125152.0
2008-12-29,1055.0,1081.0,1021.0,1073.0,108986.0
2008-12-30,1094.0,1179.0,1071.0,1105.0,259376.0
2009-01-02,1155.0,1155.0,1113.0,1134.0,77564.0
2009-01-05,1147.0,1163.0,1102.0,1142.0,183435.0
2009-01-06,1136.0,1171.0,1136.0,1165.0,222445.0
2009-01-07,1176.0,1184.0,1121.0,1150.0,225379.0
2009-01-08,1131.0,1157.0,1110.0,1155.0,179478.0
2009-01-09,1157.0,1165.0,1134.0,1136.0,93485.0
2009-01-12,1110.0,1147.0,1107.0,1110.0,137572.0
2009-01-13,1110.0,1276.0,1089.0,1276.0,360594.0
2009-01-14,1294.0,1300.0,1157.0,1157.0,1000537.0
2009-01-15,1131.0,1207.0,1121.0,1207.0,586965.0
2009-01-16,1297.0,1386.0,1273.0,1386.0,173202.0
2009-01-19,1594.0,1594.0,1284.0,1284.0,2042040.0
2009-01-20,1313.0,1400.0,1221.0,1331.0,895082.0
2009-01-21,1271.0,1358.0,1223.0,1231.0,445563.0
2009-01-22,1258.0,1289.0,1131.0,1131.0,349865.0
2009-01-23,1131.0,1165.0,1084.0,1100.0,238348.0
2009-01-28,1134.0,1184.0,1126.0,1139.0,178500.0
2009-01-29,1168.0,1168.0,1094.0,1126.0,140114.0
2009-01-30,1113.0,1155.0,1097.0,1118.0,82189.0
2009-02-02,1118.0,1181.0,1110.0,1134.0,104994.0
2009-02-03,1157.0,1252.0,1142.0,1231.0,294394.0
2009-02-04,1252.0,1273.0,1207.0,1263.0,188428.0
2009-02-05,1265.0,1342.0,1223.0,1255.0,321754.0
2009-02-06,1289.0,1347.0,1258.0,1294.0,139676.0
2009-02-09,1342.0,1431.0,1289.0,1289.0,459815.0
2009-02-10,1289.0,1323.0,1213.0,1231.0,175760.0
2009-02-11,1189.0,1221.0,1168.0,1202.0,149031.0
2009-02-12,1231.0,1247.0,1197.0,1234.0,129977.0
2009-02-13,1239.0,1302.0,1218.0,1286.0,138838.0
2009-02-16,1289.0,1305.0,1247.0,1273.0,107119.0
2009-02-17,1286.0,1331.0,1184.0,1184.0,159084.0
2009-02-18,1142.0,1202.0,1134.0,1152.0,103946.0
2009-02-19,1163.0,1221.0,1147.0,1184.0,108570.0
2009-02-20,1184.0,1186.0,1052.0,1100.0,168959.0
2009-02-23,1052.0,1126.0,1052.0,1115.0,56318.0
2009-02-24,1031.0,1089.0,1026.0,1065.0,59861.0
2009-02-25,1079.0,1105.0,1060.0,1094.0,52028.0
2009-02-26,1094.0,1129.0,1047.0,1047.0,66446.0
2009-02-27,1026.0,1092.0,1026.0,1057.0,16848.0
2009-03-02,1084.0,1084.0,992.0,1052.0,14010.0
2009-03-03,984.0,1029.0,952.0,1023.0,30820.0
2009-03-04,1015.0,1094.0,1015.0,1094.0,37349.0
2009-03-05,1105.0,1139.0,1089.0,1115.0,73953.0
2009-03-06,1068.0,1121.0,1068.0,1115.0,20990.0
2009-03-09,1147.0,1147.0,950.0,1100.0,118638.0
2009-03-10,1131.0,1131.0,1076.0,1094.0,21970.0
2009-03-11,1105.0,1155.0,1097.0,1113.0,64882.0
2009-03-12,1115.0,1147.0,1107.0,1144.0,31855.0
2009-03-13,1157.0,1205.0,1152.0,1186.0,61481.0
2009-03-16,1189.0,1244.0,1157.0,1173.0,33963.0
2009-03-17,1210.0,1210.0,1152.0,1192.0,60440.0
2009-03-18,1226.0,1244.0,1157.0,1207.0,44490.0
2009-03-19,1210.0,1226.0,1163.0,1197.0,42287.0
2009-03-20,1184.0,1189.0,1152.0,1173.0,41025.0
2009-03-23,1234.0,1234.0,1144.0,1210.0,102966.0
2009-03-24,1215.0,1260.0,1215.0,1252.0,104934.0
2009-03-25,1258.0,1284.0,1236.0,1271.0,112360.0
2009-03-26,1271.0,1315.0,1258.0,1279.0,99786.0
2009-03-27,1305.0,1308.0,1244.0,1286.0,107827.0
2009-03-30,1247.0,1326.0,1247.0,1289.0,139788.0
2009-03-31,1271.0,1342.0,1263.0,1315.0,138063.0
2009-04-01,1305.0,1394.0,1268.0,1342.0,204031.0
2009-04-02,1381.0,1381.0,1308.0,1318.0,97099.0
2009-04-03,1331.0,1331.0,1255.0,1255.0,70892.0
2009-04-06,1300.0,1300.0,1265.0,1276.0,42916.0
2009-04-07,1273.0,1397.0,1273.0,1389.0,151006.0
2009-04-08,1436.0,1447.0,1339.0,1358.0,122196.0
2009-04-09,1394.0,1542.0,1392.0,1450.0,145049.0
2009-04-10,1510.0,1518.0,1431.0,1486.0,100365.0
2009-04-13,1563.0,1584.0,1494.0,1552.0,161306.0
2009-04-14,1563.0,1626.0,1473.0,1550.0,119319.0
